id,Sentiment,Tweet
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268301528973979649","neutral","@TheBug0815 @jaquearnoux @raumplanungtv @Piratenpartei Huch! https://t.co/CGcy0BKP5s"
"1268303206553190400","neutral","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268301528973979649","neutral","@TheBug0815 @jaquearnoux @raumplanungtv @Piratenpartei Huch! https://t.co/CGcy0BKP5s"
"1268303206553190400","neutral","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268312022648680448","neutral","RT @PiratenBW: #Daten, die öffentlich zugänglich sein sollten, da sie für die Menschen eine von #Steuergeldern finanzierte Informationsquel…"
"1268301528973979649","neutral","@TheBug0815 @jaquearnoux @raumplanungtv @Piratenpartei Huch! https://t.co/CGcy0BKP5s"
"1268303206553190400","neutral","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268312022648680448","neutral","RT @PiratenBW: #Daten, die öffentlich zugänglich sein sollten, da sie für die Menschen eine von #Steuergeldern finanzierte Informationsquel…"
"1268301528973979649","neutral","@TheBug0815 @jaquearnoux @raumplanungtv @Piratenpartei Huch! https://t.co/CGcy0BKP5s"
"1268303206553190400","neutral","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268312022648680448","neutral","RT @PiratenBW: #Daten, die öffentlich zugänglich sein sollten, da sie für die Menschen eine von #Steuergeldern finanzierte Informationsquel…"
"1268301528973979649","neutral","@TheBug0815 @jaquearnoux @raumplanungtv @Piratenpartei Huch! https://t.co/CGcy0BKP5s"
"1268303206553190400","neutral","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268312022648680448","neutral","RT @PiratenBW: #Daten, die öffentlich zugänglich sein sollten, da sie für die Menschen eine von #Steuergeldern finanzierte Informationsquel…"
"1268313345272184834","neutral","@Patrick89bvb @RAinBraun @Dr_Huettl"
"1268301528973979649","neutral","@TheBug0815 @jaquearnoux @raumplanungtv @Piratenpartei Huch! https://t.co/CGcy0BKP5s"
"1268303206553190400","neutral","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268307226051084289","neutral","Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus de… https://t.co/1fdeGjlgvV"
"1268308492361891840","neutral","RT @CarmelitoBauer: Ich finde es merkwürdig, dass es fast ein Jahrzehnt nach der Piratenpartei insbesondere konservative Stimmen aus den US…"
"1268310829021179904","neutral","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268312022648680448","neutral","RT @PiratenBW: #Daten, die öffentlich zugänglich sein sollten, da sie für die Menschen eine von #Steuergeldern finanzierte Informationsquel…"
"1268313345272184834","neutral","@Patrick89bvb @RAinBraun @Dr_Huettl"
